Timestamp,GPU TEMP °,Power Consumption W,Utilization %,GPU name
2025-09-19 19:08:50,38,21.591,11,NVIDIA GeForce RTX 4090
2025-09-19 19:08:52,37,21.427,10,NVIDIA GeForce RTX 4090
2025-09-19 19:08:54,37,21.785,11,NVIDIA GeForce RTX 4090
2025-09-19 19:08:56,37,21.616,11,NVIDIA GeForce RTX 4090
2025-09-19 19:08:58,37,21.99,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:00,37,22.015,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:02,37,22.072,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:04,37,21.968,9,NVIDIA GeForce RTX 4090
2025-09-19 19:09:06,37,21.672,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:08,37,21.728,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:10,37,21.898,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:12,37,21.589,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:14,37,21.806,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:16,37,21.664,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:18,37,21.633,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:20,37,21.822,9,NVIDIA GeForce RTX 4090
2025-09-19 19:09:22,37,21.789,12,NVIDIA GeForce RTX 4090
2025-09-19 19:09:24,37,21.685,9,NVIDIA GeForce RTX 4090
2025-09-19 19:09:26,37,22.363,13,NVIDIA GeForce RTX 4090
2025-09-19 19:09:28,37,22.62,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:30,37,22.686,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:32,37,22.516,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:34,37,22.033,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:36,37,22.491,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:38,37,22.552,9,NVIDIA GeForce RTX 4090
2025-09-19 19:09:40,37,22.552,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:42,37,22.837,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:44,37,22.585,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:46,37,22.389,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:48,37,22.119,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:50,37,22.239,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:52,37,22.366,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:54,37,22.432,11,NVIDIA GeForce RTX 4090
2025-09-19 19:09:56,37,22.063,10,NVIDIA GeForce RTX 4090
2025-09-19 19:09:58,37,22.389,13,NVIDIA GeForce RTX 4090
2025-09-19 19:10:00,37,22.325,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:02,37,21.887,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:04,37,21.569,12,NVIDIA GeForce RTX 4090
2025-09-19 19:10:06,37,22.179,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:08,37,22.367,11,NVIDIA GeForce RTX 4090
2025-09-19 19:10:10,37,22.684,12,NVIDIA GeForce RTX 4090
2025-09-19 19:10:12,37,22.258,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:14,37,22.072,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:16,37,22.054,12,NVIDIA GeForce RTX 4090
2025-09-19 19:10:18,37,22.03,13,NVIDIA GeForce RTX 4090
2025-09-19 19:10:20,37,22.7,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:22,37,22.657,11,NVIDIA GeForce RTX 4090
2025-09-19 19:10:24,37,22.426,11,NVIDIA GeForce RTX 4090
2025-09-19 19:10:26,37,21.998,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:28,37,22.177,13,NVIDIA GeForce RTX 4090
2025-09-19 19:10:30,37,22.411,11,NVIDIA GeForce RTX 4090
2025-09-19 19:10:32,37,22.376,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:34,37,22.256,11,NVIDIA GeForce RTX 4090
2025-09-19 19:10:36,37,22.109,11,NVIDIA GeForce RTX 4090
2025-09-19 19:10:38,37,22.077,12,NVIDIA GeForce RTX 4090
2025-09-19 19:10:40,37,22.319,13,NVIDIA GeForce RTX 4090
2025-09-19 19:10:42,37,22.036,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:44,37,22.088,9,NVIDIA GeForce RTX 4090
2025-09-19 19:10:46,37,21.889,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:48,37,22.053,11,NVIDIA GeForce RTX 4090
2025-09-19 19:10:50,37,22.354,10,NVIDIA GeForce RTX 4090
2025-09-19 19:10:52,39,69.307,3,NVIDIA GeForce RTX 4090
2025-09-19 19:10:54,40,66.27,2,NVIDIA GeForce RTX 4090
2025-09-19 19:10:56,38,33.704,6,NVIDIA GeForce RTX 4090
2025-09-19 19:10:58,38,24.269,13,NVIDIA GeForce RTX 4090
2025-09-19 19:11:00,38,22.162,10,NVIDIA GeForce RTX 4090
2025-09-19 19:11:02,38,23.029,18,NVIDIA GeForce RTX 4090
2025-09-19 19:11:04,38,21.798,13,NVIDIA GeForce RTX 4090
2025-09-19 19:11:06,38,21.539,11,NVIDIA GeForce RTX 4090
2025-09-19 19:11:08,38,22.893,19,NVIDIA GeForce RTX 4090
2025-09-19 19:11:10,38,22.09,11,NVIDIA GeForce RTX 4090
2025-09-19 19:11:12,38,22.938,53,NVIDIA GeForce RTX 4090
2025-09-19 19:11:14,38,24.105,17,NVIDIA GeForce RTX 4090
2025-09-19 19:11:16,38,23.614,10,NVIDIA GeForce RTX 4090
2025-09-19 19:11:18,38,23.932,40,NVIDIA GeForce RTX 4090
2025-09-19 19:11:20,38,23.057,9,NVIDIA GeForce RTX 4090
2025-09-19 19:11:22,38,21.556,12,NVIDIA GeForce RTX 4090
2025-09-19 19:11:24,37,21.388,11,NVIDIA GeForce RTX 4090
2025-09-19 19:11:26,37,22.495,36,NVIDIA GeForce RTX 4090
2025-09-19 19:11:28,37,21.723,13,NVIDIA GeForce RTX 4090
